ID;Categoría;Subcategoría;Código;Nombre;Descripción;Precio;Activo
204;!4F;;;menú;;36990;Si
10;Cafeteria;;;Te / Cafe;;1500;Si
205;Ceviche;;;Ceviche salmon;;5500;Si
151;Chorrillanas;;;Chorrillana Mar y Tierra;Papas fritas, Verduras, Todas las carnes + Mariscos surtidos;13990;Si
158;Chorrillanas;;;Chorrillana Mexicana;Papas fritas, Guacamole, Nachos, Jalapeños;9990;Si
11;Chorrillanas;;;Chorrillanas Cerdo.;Papas fritas, Carne cerdo, Chorizo, Cebolla caramelizada, Huevos Fritos;9990;Si
12;Chorrillanas;;;Chorrillanas Pollo.;Papas fritas, Carne pollo, Chorizo, Cebolla caramelizada, Huevos Fritos;9990;Si
13;Chorrillanas;;;Chorrillanas Vacuno.;Papas fritas, Carne vacuno, Chorizo, Cebolla caramelizada, Huevos Fritos;9990;Si
14;Chorrillanas;;;Chorrillanas Vegana;Papas fritas, champiñón salteado,pimentón, zapallo italiano, cebolla caramelizada;9990;Si
188;Chorrillanas;;;Chorrillana todas las carnes;vacuno,cerdo,pollo;11990;Si
15;Hamburguesas;;;Hamburguesa Chacarera;Hamburguesa vacuno, Porotos verdes, Ají verde, Tomate y Mayonesa;7000;Si
16;Hamburguesas;;;Hamburguesa Chacarera + Papas Fritas;Hamburguesa vacuno, Porotos verdes, Ají verde, Tomate, Mayonesa y Papas Fritas;7500;Si
143;Hamburguesas;;;Hamburguesa Curicana;Hamburguesa vacuno, Porotos verdes, Ají verde, Tomate, Mayonesa y Papas Fritas;7500;No
142;Hamburguesas;;;Hamburguesa Curicana + Papas Fritas;Hamburguesa de cerdo + más Hamburguesa de vacuno, queso cheddar,  cebolla morada, pepinillos, salsa, tocino, huevo frito.;8000;No
17;Hamburguesas;;;Hamburguesa Gringa;Hamburguesa vacuno, Queso cheddar, Tocino, Aros de cebolla, Lechuga y Cebolla acaramelizada;7000;Si
18;Hamburguesas;;;Hamburguesa Gringa + Papas Fritas;Hamburguesa vacuno, Queso cheddar, Tocino, Aros de cebolla, Lechuga, Cebolla acaramelizada y Papas Fritas;7500;Si
19;Hamburguesas;;;Hamburguesa Italiana;Hamburguesa vacuno, Palta, Tomate y Mayonesa;7000;Si
20;Hamburguesas;;;Hamburguesa Italiana + Papas Fritas;Hamburguesa vacuno, Palta, Tomate, Mayonesa y Papas Fritas;7500;Si
147;Hamburguesas;;;Hamburguesa Jalapeña;Hamburguesa vacuno, Filete de pollo, Guacamole, Queso cheddar, Poroto verde;7500;No
148;Hamburguesas;;;Hamburguesa Jalapeña + Papas Fritas;Hamburguesa vacuno, Filete de pollo, Guacamole, Queso cheddar, Poroto verde;8000;No
21;Hamburguesas;;;Wistuburguer;Hamburguesa vacuno, Doble Queso cheddar, Tocino, Pepinillos, Tomate, Lechuga y cebolla;7500;Si
22;Hamburguesas;;;Wistuburguer + Papas Fritas;Hamburguesa vacuno, Doble Queso cheddar, Tocino, Pepinillos, Tomate, Lechuga, cebolla y Papas Fritas;8000;Si
42;Papas fritas;;;Chicken papas;Crema de pollo, Pollo y Papas fritas;9990;Si
43;Papas fritas;;;Papas Fritas;;8000;Si
44;Papas fritas;;;Papas gringas;Salsa blanca con queso, Cebollin y ciboulette;9990;Si
